taxon_id,name,obs_count
126888,Solidago sempervirens,326
54854,Tilia americana,324
53464,Pinus rigida,317
56057,Leucanthemum vulgare,314
243824,Potentilla indica,312
128686,Quercus montana,311
204148,Capnoides sempervirens,311
51741,Aegopodium podagraria,305
129278,Verbena urticifolia,304
62685,Epifagus virginiana,303
122056,Asplenium platyneuron,301
64293,Triodanis perfoliata,297
60132,Cirsium arvense,292
118512,Cardamine diphylla,292
48618,Echinocystis lobata,291
1278022,Callicladium imponens,288
132625,Lyonia ligustrina,285
55823,Draba verna,284
58893,Euphorbia maculata,281
130989,Euthamia graminifolia,281
55925,Geranium robertianum,275
62207,Oenothera biennis,275
158549,Aralia elata,274
51809,Lysimachia nummularia,268
54775,Cornus alternifolia,268
82574,Matteuccia struthiopteris,268
119806,Lobelia siphilitica,268
125482,Pilea pumila,268
50717,Epipactis helleborine,267
55981,Lapsana communis,267
142979,Vernonia noveboracensis,265
52119,Populus deltoides,264
52720,Dactylis glomerata,264
54762,Acer saccharinum,264
57481,Calystegia sepium,264
55766,Euphorbia cyparissias,263
57056,Medicago lupulina,262
77155,Fragaria virginiana,260
125186,Lespedeza capitata,259
133293,Limonium carolinianum,258
133393,Viola labradorica,257
54802,Nyssa sylvatica,255
58991,Portulaca oleracea,255
48062,Lysimachia terrestris,253
49884,Betula populifolia,253
48206,Convallaria majalis,252
62377,Rubus odoratus,252
59980,Conopholis americana,251
84281,Clinopodium vulgare,250
204177,Persicaria arifolia,248
485191,Silene coronaria,248
1038940,Solanum emulans,248
54504,Juglans nigra,247
63166,Viburnum lantanoides,247
79408,Trifolium arvense,246
118473,Sedum sarmentosum,244
48726,Iris versicolor,243
56090,Morus alba,242
48070,Sagittaria latifolia,241
82536,Viola pedata,240
83075,Epigaea repens,237
130898,Collinsonia canadensis,237
53197,Rumex crispus,236
862704,Scilla siberica,236
117443,Symphyotrichum novae-angliae,235
119802,Laportea canadensis,235
79460,Turritis glabra,234
56077,Hypericum perforatum,232
131000,Dichanthelium clandestinum,229
58907,Melilotus albus,223
47894,Opuntia humifusa,222
57356,Amorpha fruticosa,222
53059,Galium aparine,221
69713,Rubus hispidus,220
204339,Lamium galeobdolon,220
52740,Vaccinium corymbosum,219
130737,Quercus ilicifolia,219
204153,Eutrochium dubium,219
460193,Potentilla hebiichigo,218
75995,Campsis radicans,216
76214,Centaurea stoebe,216
127634,Trichostema dichotomum,216
51227,Pedicularis canadensis,215
57824,Sambucus racemosa,215
60214,Abutilon theophrasti,213
55886,Lunaria annua,212
82317,Hibiscus moscheutos,212
75832,Boehmeria cylindrica,211
55748,Veronica arvensis,210
77638,Lathyrus japonicus,210
133237,Hieracium paniculatum,209
47359,Apocynum androsaemifolium,208
83456,Decodon verticillatus,208
128805,Gaylussacia baccata,206
127907,Chamaecrista fasciculata,205
58127,Chenopodium album,203
59063,Cyperus strigosus,203
60221,Ludwigia palustris,203
154387,Chrysosplenium americanum,203
49822,Rhododendron periclymenoides,202
55459,Lamium amplexicaule,202
119145,Mikania scandens,202
126251,Coptis trifolia,197
49883,Betula papyrifera,196
76158,Catalpa speciosa,195
76897,Erigeron annuus,195
83059,Rhododendron maximum,195
54771,Ostrya virginiana,194
126583,Hemerocallis fulva,194
52651,Sarracenia purpurea,193
153441,Symphyotrichum cordifolium,192
53094,Heracleum maximum,191
53034,Ambrosia trifida,188
82569,Thelypteris palustris,188
62236,Chimaphila umbellata,187
81802,Ranunculus recurvatus,187
130690,Rhexia virginica,186
53374,Corylus cornuta,185
79358,Thlaspi arvense,185
359147,Viola fimbriatula,185
47891,Impatiens pallida,182
53983,Digitalis purpurea,182
68034,Hieracium venosum,182
143859,Pseudognaphalium obtusifolium,181
79409,Trifolium aureum,179
49006,Quercus velutina,178
54811,Rhamnus cathartica,177
