species,status,is_weed,cipwg_category,source,hazard
Chaenorhinum minus,introduced,false,,iNaturalist establishment_means (CT),
Chamaecyparis obtusa,ornamental,false,,iNat cultivated scope (WS-B),
Chamaecyparis pisifera,ornamental,false,,iNat cultivated scope (WS-B),
Chelidonium majus,introduced,false,,iNaturalist establishment_means (CT),
Chelone glabra,native,false,,iNaturalist establishment_means (CT),
Chelone lyonii,introduced,false,,iNaturalist establishment_means (CT),
Chenopodiastrum hybridum,introduced,false,,iNaturalist establishment_means (CT),
Chenopodium album,introduced,false,,iNaturalist establishment_means (CT),
Chenopodium ficifolium,introduced,false,,iNaturalist establishment_means (CT),
Chimaphila maculata,native,false,,iNaturalist establishment_means (CT),
Chlorophytum comosum,ornamental,false,,iNat cultivated scope (WS-B),
Chrysosplenium americanum,native,false,,iNaturalist establishment_means (CT),
Cichorium intybus,introduced,false,,iNaturalist establishment_means (CT),
Cicuta bulbifera,unknown,false,,hazard list (2026-07 field review),Deadly poisonous if eaten
Cicuta maculata,unknown,false,,hazard list (2026-07 field review),Deadly poisonous if eaten
Cinna arundinacea,native,false,,iNaturalist establishment_means (CT),
Cirsium arvense,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Cirsium pumilum,native,false,,iNaturalist establishment_means (CT),
Cirsium vulgare,introduced,true,,common Eurasian-introduced weed,
Citrullus lanatus,introduced,false,,iNaturalist establishment_means (CT),
Citrus trifoliata,introduced,false,,iNaturalist establishment_means (CT),
Cladrastis kentukea,ornamental,false,,iNat cultivated scope (WS-B),
Clematis terniflora,introduced,false,,iNaturalist establishment_means (CT),
Clematis virginiana,native,false,,iNaturalist establishment_means (CT),
Clematis viticella,ornamental,false,,iNat cultivated scope (WS-B),
Cleome houtteana,introduced,false,,iNaturalist establishment_means (CT),
Clerodendrum trichotomum,ornamental,false,,iNat cultivated scope (WS-B),
Clethra alnifolia,native,false,,iNaturalist establishment_means (CT),
Clinopodium nepeta,introduced,false,,iNaturalist establishment_means (CT),
Clinopodium vulgare,native,false,,iNaturalist establishment_means (CT),
Clivia miniata,ornamental,false,,iNat cultivated scope (WS-B),
Codiaeum variegatum,ornamental,false,,iNat cultivated scope (WS-B),
Colchicum autumnale,introduced,false,,iNaturalist establishment_means (CT),
Coleus scutellarioides,ornamental,false,,iNat cultivated scope (WS-B),
Collinsonia canadensis,native,false,,iNaturalist establishment_means (CT),
Colocasia esculenta,ornamental,false,,iNat cultivated scope (WS-B),
Colutea arborescens,introduced,false,,iNaturalist establishment_means (CT),
Commelina communis,introduced,false,,iNaturalist establishment_means (CT),
Comptonia peregrina,native,false,,iNaturalist establishment_means (CT),
Conium maculatum,introduced,false,,iNaturalist establishment_means (CT),Deadly poisonous if eaten
Conoclinium coelestinum,introduced,false,,iNaturalist establishment_means (CT),
Convallaria majalis,introduced,false,,iNaturalist establishment_means (CT),Toxic if eaten
Convolvulus arvensis,introduced,true,,common Eurasian-introduced weed,
Convolvulus tricolor,introduced,false,,iNaturalist establishment_means (CT),
Coreopsis auriculata,introduced,false,,iNaturalist establishment_means (CT),
Coreopsis lanceolata,introduced,false,,iNaturalist establishment_means (CT),
Coreopsis tinctoria,introduced,false,,iNaturalist establishment_means (CT),
Coreopsis tripteris,introduced,false,,iNaturalist establishment_means (CT),
Coreopsis verticillata,introduced,false,,iNaturalist establishment_means (CT),
Coriandrum sativum,introduced,false,,iNaturalist establishment_means (CT),
Cornus alba,introduced,false,,iNaturalist establishment_means (CT),
Cornus alternifolia,native,false,,iNaturalist establishment_means (CT),
Cornus amomum,native,false,,iNaturalist establishment_means (CT),
Cornus florida,native,false,,iNaturalist establishment_means (CT),
Cornus kousa,introduced,false,,iNaturalist establishment_means (CT),
Cornus mas,introduced,false,,iNaturalist establishment_means (CT),
Cornus officinalis,introduced,false,,iNaturalist establishment_means (CT),
Cornus racemosa,native,false,,iNaturalist establishment_means (CT),
Cornus sericea,native,false,,iNaturalist establishment_means (CT),
Corydalis flavula,native,false,,iNaturalist establishment_means (CT),
Corydalis solida,introduced,false,,iNaturalist establishment_means (CT),
Corylus avellana,introduced,false,,iNaturalist establishment_means (CT),
Corylus colurna,introduced,false,,iNaturalist establishment_means (CT),
Corylus cornuta,native,false,,iNaturalist establishment_means (CT),
Cosmos bipinnatus,introduced,false,,iNaturalist establishment_means (CT),
Cosmos sulphureus,introduced,false,,iNaturalist establishment_means (CT),
Cotinus coggygria,introduced,false,,iNaturalist establishment_means (CT),
Cotinus obovatus,ornamental,false,,iNat cultivated scope (WS-B),
Cotoneaster divaricatus,introduced,false,,iNaturalist establishment_means (CT),
Cotoneaster horizontalis,introduced,false,,iNaturalist establishment_means (CT),
Crambe maritima,introduced,false,,iNaturalist establishment_means (CT),
Crassula ovata,ornamental,false,,iNat cultivated scope (WS-B),
Crataegus monogyna,introduced,false,,iNaturalist establishment_means (CT),
Crepis capillaris,introduced,false,,iNaturalist establishment_means (CT),
Crepis tectorum,introduced,false,,iNaturalist establishment_means (CT),
Crocus biflorus,introduced,false,,iNaturalist establishment_means (CT),
Crocus chrysanthus,introduced,false,,iNaturalist establishment_means (CT),
Crocus neapolitanus,introduced,false,,iNaturalist establishment_means (CT),
Crocus speciosus,introduced,false,,iNaturalist establishment_means (CT),
Crocus tommasinianus,introduced,false,,iNaturalist establishment_means (CT),
Crocus vernus,introduced,false,,iNaturalist establishment_means (CT),
Cruciata pedemontana,introduced,false,,iNaturalist establishment_means (CT),
Cryptomeria japonica,ornamental,false,,iNat cultivated scope (WS-B),
Cryptotaenia japonica,introduced,false,,iNaturalist establishment_means (CT),
Cucumis melo,introduced,false,,iNaturalist establishment_means (CT),
Cucumis sativus,ornamental,false,,iNat cultivated scope (WS-B),
Cucurbita maxima,introduced,false,,iNaturalist establishment_means (CT),
Cucurbita pepo,introduced,false,,iNaturalist establishment_means (CT),
Cuscuta pentagona,native,false,,iNaturalist establishment_means (CT),
Cyclamen persicum,ornamental,false,,iNat cultivated scope (WS-B),
Cydonia oblonga,introduced,false,,iNaturalist establishment_means (CT),
Cymbalaria muralis,introduced,false,,iNaturalist establishment_means (CT),
Cymbopogon citratus,ornamental,false,,iNat cultivated scope (WS-B),
Cynoglossum amabile,introduced,false,,iNaturalist establishment_means (CT),
Cyperus brevifolioides,introduced,false,,iNaturalist establishment_means (CT),
Cyperus difformis,introduced,false,,iNaturalist establishment_means (CT),
Cyperus esculentus,introduced,false,,iNaturalist establishment_means (CT),
Cyperus iria,introduced,false,,iNaturalist establishment_means (CT),
Cyperus microiria,introduced,false,,iNaturalist establishment_means (CT),
Cyperus odoratus,native,false,,iNaturalist establishment_means (CT),
Cypripedium acaule,native,false,,iNaturalist establishment_means (CT),
Cystopteris fragilis,native,false,,iNaturalist establishment_means (CT),
Cytisus scoparius,introduced,false,,iNaturalist establishment_means (CT),
Dactylis glomerata,introduced,false,,iNaturalist establishment_means (CT),
Dahlia pinnata,ornamental,false,,iNat cultivated scope (WS-B),
Danthonia spicata,native,false,,iNaturalist establishment_means (CT),
Daphne mezereum,introduced,false,,iNaturalist establishment_means (CT),
Datura innoxia,introduced,false,,iNaturalist establishment_means (CT),
Datura metel,introduced,false,,iNaturalist establishment_means (CT),
Datura stramonium,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),Highly toxic if eaten
Datura wrightii,introduced,false,,iNaturalist establishment_means (CT),
Daucus carota,introduced,false,,iNaturalist establishment_means (CT),
Delphinium ajacis,introduced,false,,iNaturalist establishment_means (CT),
Delphinium cultorum,ornamental,false,,iNat cultivated scope (WS-B),
Dendrolycopodium obscurum,native,false,,iNaturalist establishment_means (CT),
Dennstaedtia punctilobula,native,false,,iNaturalist establishment_means (CT),
Deparia acrostichoides,native,false,,iNaturalist establishment_means (CT),
Desmodium canadense,native,false,,iNaturalist establishment_means (CT),
Desmodium paniculatum,native,false,,iNaturalist establishment_means (CT),
Deutzia crenata,introduced,false,,iNaturalist establishment_means (CT),
Deutzia scabra,ornamental,false,,iNat cultivated scope (WS-B),
Dianthus armeria,introduced,false,,iNaturalist establishment_means (CT),
Dianthus barbatus,introduced,false,,iNaturalist establishment_means (CT),
Dianthus deltoides,introduced,false,,iNaturalist establishment_means (CT),
Dicentra eximia,introduced,false,,iNaturalist establishment_means (CT),
Dichanthelium commutatum,native,false,,iNaturalist establishment_means (CT),
Dichondra argentea,ornamental,false,,iNat cultivated scope (WS-B),
Digitalis grandiflora,introduced,false,,iNaturalist establishment_means (CT),
Digitalis lanata,introduced,false,,iNaturalist establishment_means (CT),
Digitalis lutea,introduced,false,,iNaturalist establishment_means (CT),
Digitalis purpurea,introduced,false,,iNaturalist establishment_means (CT),Toxic if eaten
Digitaria ischaemum,introduced,false,,iNaturalist establishment_means (CT),
Digitaria sanguinalis,introduced,true,,common Eurasian-introduced weed,
Dioscorea polystachya,introduced,false,,iNaturalist establishment_means (CT),
Dipsacus fullonum,introduced,false,,iNaturalist establishment_means (CT),
Dipsacus laciniatus,introduced,false,,iNaturalist establishment_means (CT),
Draba verna,introduced,false,,iNaturalist establishment_means (CT),
Dracaena fragrans,ornamental,false,,iNat cultivated scope (WS-B),
Dracaena reflexa,ornamental,false,,iNat cultivated scope (WS-B),
Dracaena sanderiana,ornamental,false,,iNat cultivated scope (WS-B),
Dryopteris carthusiana,native,false,,iNaturalist establishment_means (CT),
Dryopteris cristata,native,false,,iNaturalist establishment_means (CT),
Dryopteris erythrosora,introduced,false,,iNaturalist establishment_means (CT),
Dryopteris marginalis,native,false,,iNaturalist establishment_means (CT),
Dysphania ambrosioides,introduced,false,,iNaturalist establishment_means (CT),
Dysphania atriplicifolia,introduced,false,,iNaturalist establishment_means (CT),
Dysphania botrys,introduced,false,,iNaturalist establishment_means (CT),
Dysphania pumilio,introduced,false,,iNaturalist establishment_means (CT),
Echinacea pallida,introduced,false,,iNaturalist establishment_means (CT),
Echinacea purpurea,introduced,false,,iNaturalist establishment_means (CT),
Echinochloa colona,introduced,false,,iNaturalist establishment_means (CT),
Echinochloa crus-galli,introduced,false,,iNaturalist establishment_means (CT),
Echinops bannaticus,introduced,false,,iNaturalist establishment_means (CT),
Echinops sphaerocephalus,introduced,false,,iNaturalist establishment_means (CT),
Echium vulgare,introduced,false,,iNaturalist establishment_means (CT),
Eclipta prostrata,introduced,false,,iNaturalist establishment_means (CT),
Elaeagnus umbellata,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Eleusine indica,introduced,false,,iNaturalist establishment_means (CT),
Eleutherococcus sieboldianus,introduced,false,,iNaturalist establishment_means (CT),
Elodea densa,introduced,false,,iNaturalist establishment_means (CT),
Elodea nuttallii,native,false,,iNaturalist establishment_means (CT),
Elsholtzia ciliata,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Elymus hystrix,native,false,,iNaturalist establishment_means (CT),
Elymus repens,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Elymus virginicus,native,false,,iNaturalist establishment_means (CT),
Epifagus virginiana,native,false,,iNaturalist establishment_means (CT),
Epilobium hirsutum,introduced,false,,iNaturalist establishment_means (CT),
Epilobium parviflorum,introduced,false,,iNaturalist establishment_means (CT),
Epimedium alpinum,introduced,false,,iNaturalist establishment_means (CT),
Epipactis helleborine,introduced,false,,iNaturalist establishment_means (CT),
Epipremnum aureum,ornamental,false,,iNat cultivated scope (WS-B),
Equisetum arvense,native,false,,iNaturalist establishment_means (CT),
Eranthis hyemalis,introduced,false,,iNaturalist establishment_means (CT),
Erechtites hieraciifolius,native,false,,iNaturalist establishment_means (CT),
Erica carnea,ornamental,false,,iNat cultivated scope (WS-B),
Erigeron annuus,native,false,,iNaturalist establishment_means (CT),
Erigeron canadensis,native,false,,iNaturalist establishment_means (CT),
Erigeron philadelphicus,native,false,,iNaturalist establishment_means (CT),
Erigeron pulchellus,native,false,,iNaturalist establishment_means (CT),
Eriocapitella hupehensis,ornamental,false,,iNat cultivated scope (WS-B),
Eriocapitella japonica,ornamental,false,,iNat cultivated scope (WS-B),
Erodium cicutarium,introduced,false,,iNaturalist establishment_means (CT),
Eruca vesicaria,introduced,false,,iNaturalist establishment_means (CT),
Erucastrum gallicum,introduced,false,,iNaturalist establishment_means (CT),
Eryngium yuccifolium,introduced,false,,iNaturalist establishment_means (CT),
Erysimum cheiranthoides,introduced,false,,iNaturalist establishment_means (CT),
Erysimum repandum,introduced,false,,iNaturalist establishment_means (CT),
Erythronium americanum,native,false,,iNaturalist establishment_means (CT),
Euonymus alatus,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Euonymus atropurpureus,introduced,false,,iNaturalist establishment_means (CT),
Euonymus europaeus,introduced,false,,iNaturalist establishment_means (CT),Toxic if eaten
Euonymus fortunei,introduced,false,,iNaturalist establishment_means (CT),
Euonymus hamiltonianus,introduced,false,,iNaturalist establishment_means (CT),
Euonymus japonicus,introduced,false,,iNaturalist establishment_means (CT),
Eupatorium altissimum,introduced,false,,iNaturalist establishment_means (CT),
Eupatorium perfoliatum,native,false,,iNaturalist establishment_means (CT),
Eupatorium serotinum,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia cyparissias,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Euphorbia dulcis,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia epithymoides,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia esula,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Euphorbia graminea,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia lathyris,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia myrsinites,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia oblongata,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia peplus,introduced,false,,iNaturalist establishment_means (CT),
Euphorbia pulcherrima,ornamental,false,,iNat cultivated scope (WS-B),
Euphorbia virgata,introduced,false,,iNaturalist establishment_means (CT),
Euphrasia nemorosa,introduced,false,,iNaturalist establishment_means (CT),
Eurybia divaricata,native,false,,iNaturalist establishment_means (CT),
Euthamia graminifolia,native,false,,iNaturalist establishment_means (CT),
Eutrochium dubium,native,false,,iNaturalist establishment_means (CT),
Fagopyrum esculentum,introduced,false,,iNaturalist establishment_means (CT),
Fagus grandifolia,native,false,,iNaturalist establishment_means (CT),
Fagus sylvatica,introduced,false,,iNaturalist establishment_means (CT),
Fallopia convolvulus,introduced,false,,iNaturalist establishment_means (CT),
Fallopia dumetorum,introduced,false,,iNaturalist establishment_means (CT),
Fatoua villosa,introduced,false,,iNaturalist establishment_means (CT),
Festuca myuros,introduced,false,,iNaturalist establishment_means (CT),
Ficaria verna,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Ficus benjamina,ornamental,false,,iNat cultivated scope (WS-B),
Ficus carica,ornamental,false,,iNat cultivated scope (WS-B),
Ficus elastica,ornamental,false,,iNat cultivated scope (WS-B),
Ficus lyrata,ornamental,false,,iNat cultivated scope (WS-B),
Filipendula ulmaria,introduced,false,,iNaturalist establishment_means (CT),
Filipendula vulgaris,introduced,false,,iNaturalist establishment_means (CT),
Foeniculum vulgare,introduced,false,,iNaturalist establishment_means (CT),
Forsythia suspensa,introduced,false,,iNaturalist establishment_means (CT),
Forsythia viridissima,introduced,false,,iNaturalist establishment_means (CT),
Fothergilla gardenii,ornamental,false,,iNat cultivated scope (WS-B),
Fragaria virginiana,native,false,,iNaturalist establishment_means (CT),
Frangula alnus,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Franklinia alatamaha,ornamental,false,,iNat cultivated scope (WS-B),
Fraxinus americana,native,false,,iNaturalist establishment_means (CT),
Fraxinus nigra,native,false,,iNaturalist establishment_means (CT),
Fraxinus pennsylvanica,native,false,,iNaturalist establishment_means (CT),
Fritillaria imperialis,ornamental,false,,iNat cultivated scope (WS-B),
Fritillaria meleagris,introduced,false,,iNaturalist establishment_means (CT),
Froelichia gracilis,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Fumaria officinalis,introduced,false,,iNaturalist establishment_means (CT),
Galanthus elwesii,introduced,false,,iNaturalist establishment_means (CT),
Galanthus nivalis,introduced,false,,iNaturalist establishment_means (CT),
Galanthus woronowii,introduced,false,,iNaturalist establishment_means (CT),
Galeopsis bifida,introduced,false,,iNaturalist establishment_means (CT),
Galeopsis tetrahit,introduced,false,,iNaturalist establishment_means (CT),
Galinsoga parviflora,introduced,false,,iNaturalist establishment_means (CT),
Galinsoga quadriradiata,introduced,false,,iNaturalist establishment_means (CT),
Galium album,introduced,false,,iNaturalist establishment_means (CT),
Galium aparine,native,false,,iNaturalist establishment_means (CT),
Galium asprellum,native,false,,iNaturalist establishment_means (CT),
Galium circaezans,native,false,,iNaturalist establishment_means (CT),
Galium mollugo,introduced,false,,iNaturalist establishment_means (CT),
Galium odoratum,introduced,false,,iNaturalist establishment_means (CT),
Galium triflorum,native,false,,iNaturalist establishment_means (CT),
Galium verum,introduced,false,,iNaturalist establishment_means (CT),
Gaultheria procumbens,native,false,,iNaturalist establishment_means (CT),
Gaylussacia baccata,native,false,,iNaturalist establishment_means (CT),
Geranium dissectum,introduced,false,,iNaturalist establishment_means (CT),
Geranium macrorrhizum,introduced,false,,iNaturalist establishment_means (CT),
Geranium maculatum,native,false,,iNaturalist establishment_means (CT),
Geranium molle,introduced,false,,iNaturalist establishment_means (CT),
Geranium phaeum,introduced,false,,iNaturalist establishment_means (CT),
Geranium pratense,introduced,false,,iNaturalist establishment_means (CT),
Geranium robertianum,native,false,,iNaturalist establishment_means (CT),
Geranium sanguineum,introduced,false,,iNaturalist establishment_means (CT),
Geranium sylvaticum,introduced,false,,iNaturalist establishment_means (CT),
Geranium thunbergii,introduced,false,,iNaturalist establishment_means (CT),
Geum canadense,native,false,,iNaturalist establishment_means (CT),
Geum urbanum,introduced,false,,iNaturalist establishment_means (CT),
Geum vernum,native,false,,iNaturalist establishment_means (CT),
Geum virginianum,native,false,,iNaturalist establishment_means (CT),
Ginkgo biloba,introduced,false,,iNaturalist establishment_means (CT),
Glaucium flavum,introduced,false,,iNaturalist establishment_means (CT),
Glechoma hederacea,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Glossostigma cleistanthum,introduced,false,,iNaturalist establishment_means (CT),
Glyceria melicaria,native,false,,iNaturalist establishment_means (CT),
Gnaphalium uliginosum,introduced,false,,iNaturalist establishment_means (CT),
Gomphocarpus physocarpus,ornamental,false,,iNat cultivated scope (WS-B),
Gomphrena globosa,ornamental,false,,iNat cultivated scope (WS-B),
Goodyera pubescens,native,false,,iNaturalist establishment_means (CT),
Graptopetalum paraguayense,ornamental,false,,iNat cultivated scope (WS-B),
Gymnocladus dioicus,introduced,false,,iNaturalist establishment_means (CT),
Gypsophila elegans,introduced,false,,iNaturalist establishment_means (CT),
Gypsophila vaccaria,introduced,false,,iNaturalist establishment_means (CT),
Hakonechloa macra,introduced,false,,iNaturalist establishment_means (CT),
Hamamelis mollis,ornamental,false,,iNat cultivated scope (WS-B),
Hamamelis virginiana,native,false,,iNaturalist establishment_means (CT),
Hedera helix,introduced,false,,iNaturalist establishment_means (CT),
Hedera hibernica,introduced,false,,iNaturalist establishment_means (CT),
Helenium flexuosum,introduced,false,,iNaturalist establishment_means (CT),
Helianthus annuus,introduced,false,,iNaturalist establishment_means (CT),
Helianthus decapetalus,native,false,,iNaturalist establishment_means (CT),
Helianthus divaricatus,native,false,,iNaturalist establishment_means (CT),
Helianthus giganteus,introduced,false,,iNaturalist establishment_means (CT),
Helianthus mollis,introduced,false,,iNaturalist establishment_means (CT),
Helianthus tuberosus,introduced,false,,iNaturalist establishment_means (CT),
Heliopsis helianthoides,introduced,false,,iNaturalist establishment_means (CT),
Helleborus foetidus,introduced,false,,iNaturalist establishment_means (CT),
Helleborus orientalis,introduced,false,,iNaturalist establishment_means (CT),
Hemerocallis fulva,introduced,false,,iNaturalist establishment_means (CT),
Hemerocallis lilioasphodelus,ornamental,false,,iNat cultivated scope (WS-B),
Hepatica americana,native,false,,iNaturalist establishment_means (CT),
Heptacodium miconioides,ornamental,false,,iNat cultivated scope (WS-B),
Heptapleurum arboricola,ornamental,false,,iNat cultivated scope (WS-B),
Heracleum mantegazzianum,unknown,false,,hazard list (2026-07 field review),Sap causes severe burns and blisters
Herniaria glabra,introduced,false,,iNaturalist establishment_means (CT),
Hesperis matronalis,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Heuchera sanguinea,ornamental,false,,iNat cultivated scope (WS-B),
Hibiscus syriacus,introduced,false,,iNaturalist establishment_means (CT),
Hibiscus trionum,introduced,false,,iNaturalist establishment_means (CT),
Hieracium lachenalii,introduced,false,,iNaturalist establishment_means (CT),
Hieracium paniculatum,native,false,,iNaturalist establishment_means (CT),
Hieracium sabaudum,introduced,false,,iNaturalist establishment_means (CT),
Hieracium venosum,native,false,,iNaturalist establishment_means (CT),
Holcus lanatus,introduced,false,,iNaturalist establishment_means (CT),
Hosta lancifolia,introduced,false,,iNaturalist establishment_means (CT),
Hosta plantaginea,ornamental,false,,iNat cultivated scope (WS-B),
Hosta sieboldiana,ornamental,false,,iNat cultivated scope (WS-B),
Hosta sieboldii,ornamental,false,,iNat cultivated scope (WS-B),
Hosta ventricosa,introduced,false,,iNaturalist establishment_means (CT),
Houstonia caerulea,native,false,,iNaturalist establishment_means (CT),
Houttuynia cordata,introduced,false,,iNaturalist establishment_means (CT),
Hoya carnosa,ornamental,false,,iNat cultivated scope (WS-B),
Humulus scandens,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Huperzia lucidula,native,false,,iNaturalist establishment_means (CT),
Hyacinthoides hispanica,introduced,false,,iNaturalist establishment_means (CT),
Hyacinthoides non-scripta,introduced,false,,iNaturalist establishment_means (CT),
Hyacinthus orientalis,introduced,false,,iNaturalist establishment_means (CT),
Hydrangea macrophylla,ornamental,false,,iNat cultivated scope (WS-B),
Hydrangea paniculata,ornamental,false,,iNat cultivated scope (WS-B),
Hydrangea petiolaris,introduced,false,,iNaturalist establishment_means (CT),
Hydrangea serrata,ornamental,false,,iNat cultivated scope (WS-B),
Hydrilla verticillata,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Hydrocotyle americana,native,false,,iNaturalist establishment_means (CT),
Hydrocotyle sibthorpioides,introduced,false,,iNaturalist establishment_means (CT),
Hylodesmum glutinosum,native,false,,iNaturalist establishment_means (CT),
Hylodesmum nudiflorum,native,false,,iNaturalist establishment_means (CT),
Hylotelephium spectabile,ornamental,false,,iNat cultivated scope (WS-B),
Hylotelephium telephium,introduced,false,,iNaturalist establishment_means (CT),
Hypericum calycinum,introduced,false,,iNaturalist establishment_means (CT),
Hypericum perforatum,introduced,false,,iNaturalist establishment_means (CT),
Hypochaeris radicata,introduced,false,,iNaturalist establishment_means (CT),
Hypoestes phyllostachya,ornamental,false,,iNat cultivated scope (WS-B),
Hypoxis hirsuta,native,false,,iNaturalist establishment_means (CT),
Iberis sempervirens,ornamental,false,,iNat cultivated scope (WS-B),
Ilex aquifolium,introduced,false,,iNaturalist establishment_means (CT),
Ilex cornuta,ornamental,false,,iNat cultivated scope (WS-B),
Ilex crenata,introduced,false,,iNaturalist establishment_means (CT),
Ilex verticillata,native,false,,iNaturalist establishment_means (CT),
Impatiens balsamina,introduced,false,,iNaturalist establishment_means (CT),
Impatiens capensis,native,false,,iNaturalist establishment_means (CT),
Impatiens glandulifera,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Impatiens hawkeri,ornamental,false,,iNat cultivated scope (WS-B),
Impatiens pallida,native,false,,iNaturalist establishment_means (CT),
Impatiens walleriana,introduced,false,,iNaturalist establishment_means (CT),
Inula helenium,introduced,false,,iNaturalist establishment_means (CT),
Ionactis linariifolia,native,false,,iNaturalist establishment_means (CT),
Ipheion uniflorum,introduced,false,,iNaturalist establishment_means (CT),
Ipomoea batatas,ornamental,false,,iNat cultivated scope (WS-B),
Ipomoea hederacea,introduced,false,,iNaturalist establishment_means (CT),
Ipomoea purpurea,introduced,false,,iNaturalist establishment_means (CT),
Ipomoea quamoclit,introduced,false,,iNaturalist establishment_means (CT),
Iris cristata,introduced,false,,iNaturalist establishment_means (CT),
Iris domestica,introduced,false,,iNaturalist establishment_means (CT),
Iris ensata,ornamental,false,,iNat cultivated scope (WS-B),
Iris pallida,introduced,false,,iNaturalist establishment_means (CT),
Iris pseudacorus,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Iris reticulata,introduced,false,,iNaturalist establishment_means (CT),
Iris sanguinea,introduced,false,,iNaturalist establishment_means (CT),
Iris versicolor,native,false,,iNaturalist establishment_means (CT),
Iris virginica,introduced,false,,iNaturalist establishment_means (CT),
Isotria verticillata,native,false,,iNaturalist establishment_means (CT),
Jacobaea maritima,introduced,false,,iNaturalist establishment_means (CT),
Jasione montana,introduced,false,,iNaturalist establishment_means (CT),
Juglans ailantifolia,introduced,false,,iNaturalist establishment_means (CT),
Juglans nigra,native,false,,iNaturalist establishment_means (CT),
Juglans regia,introduced,false,,iNaturalist establishment_means (CT),
Juncus compressus,introduced,false,,iNaturalist establishment_means (CT),
Juncus effusus,native,false,,iNaturalist establishment_means (CT),
Juniperus chinensis,ornamental,false,,iNat cultivated scope (WS-B),
Juniperus communis,native,false,,iNaturalist establishment_means (CT),
Juniperus virginiana,native,false,,iNaturalist establishment_means (CT),
Kalanchoe blossfeldiana,ornamental,false,,iNat cultivated scope (WS-B),
Kalmia latifolia,native,false,,iNaturalist establishment_means (CT),
Kalopanax septemlobus,introduced,false,,iNaturalist establishment_means (CT),
Kerria japonica,introduced,false,,iNaturalist establishment_means (CT),
Kickxia elatine,introduced,false,,iNaturalist establishment_means (CT),
Kirengeshoma palmata,introduced,false,,iNaturalist establishment_means (CT),
Knautia arvensis,introduced,false,,iNaturalist establishment_means (CT),
Kniphofia uvaria,ornamental,false,,iNat cultivated scope (WS-B),
Koelreuteria paniculata,introduced,false,,iNaturalist establishment_means (CT),
Kolkwitzia amabilis,introduced,false,,iNaturalist establishment_means (CT),
Krigia biflora,native,false,,iNaturalist establishment_means (CT),
Kummerowia stipulacea,introduced,false,,iNaturalist establishment_means (CT),
Kummerowia striata,introduced,false,,iNaturalist establishment_means (CT),
Lablab purpureus,introduced,false,,iNaturalist establishment_means (CT),
Laburnum anagyroides,ornamental,false,,iNat cultivated scope (WS-B),
Lactuca biennis,native,false,,iNaturalist establishment_means (CT),
Lactuca sativa,ornamental,false,,iNat cultivated scope (WS-B),
Lactuca serriola,introduced,false,,iNaturalist establishment_means (CT),
Lagenaria siceraria,introduced,false,,iNaturalist establishment_means (CT),
Lagerstroemia indica,ornamental,false,,iNat cultivated scope (WS-B),
Lamium amplexicaule,introduced,false,,iNaturalist establishment_means (CT),
Lamium galeobdolon,introduced,false,,iNaturalist establishment_means (CT),
Lamium hybridum,introduced,false,,iNaturalist establishment_means (CT),
Lamium maculatum,introduced,false,,iNaturalist establishment_means (CT),
Lamium purpureum,introduced,false,,iNaturalist establishment_means (CT),
Lamprocapnos spectabilis,introduced,false,,iNaturalist establishment_means (CT),
Lantana camara,ornamental,false,,iNat cultivated scope (WS-B),
Laportea canadensis,native,false,,iNaturalist establishment_means (CT),Stings on contact
Lapsana communis,introduced,false,,iNaturalist establishment_means (CT),
Larix decidua,introduced,false,,iNaturalist establishment_means (CT),
Lathyrus latifolius,introduced,false,,iNaturalist establishment_means (CT),
Lathyrus sphaericus,introduced,false,,iNaturalist establishment_means (CT),
Lathyrus sylvestris,introduced,false,,iNaturalist establishment_means (CT),
Lathyrus vernus,introduced,false,,iNaturalist establishment_means (CT),
Lavandula angustifolia,ornamental,false,,iNat cultivated scope (WS-B),
Leersia oryzoides,native,false,,iNaturalist establishment_means (CT),
Leersia virginica,native,false,,iNaturalist establishment_means (CT),
