species,status,is_weed,cipwg_category,source,hazard
Veronica hederifolia,introduced,false,,iNaturalist establishment_means (CT),
Veronica longifolia,introduced,false,,iNaturalist establishment_means (CT),
Veronica officinalis,introduced,false,,iNaturalist establishment_means (CT),
Veronica persica,introduced,false,,iNaturalist establishment_means (CT),
Veronica polita,introduced,false,,iNaturalist establishment_means (CT),
Veronica serpyllifolia,introduced,false,,iNaturalist establishment_means (CT),
Veronica sublobata,introduced,false,,iNaturalist establishment_means (CT),
Veronica teucrium,introduced,false,,iNaturalist establishment_means (CT),
Veronica umbrosa,introduced,false,,iNaturalist establishment_means (CT),
Viburnum acerifolium,native,false,,iNaturalist establishment_means (CT),
Viburnum carlesii,introduced,false,,iNaturalist establishment_means (CT),
Viburnum dilatatum,introduced,false,,iNaturalist establishment_means (CT),
Viburnum lantana,ornamental,false,,iNat cultivated scope (WS-B),
Viburnum lentago,native,false,,iNaturalist establishment_means (CT),
Viburnum plicatum,introduced,false,,iNaturalist establishment_means (CT),
Viburnum prunifolium,native,false,,iNaturalist establishment_means (CT),
Viburnum recognitum,native,false,,iNaturalist establishment_means (CT),
Viburnum rhytidophyllum,ornamental,false,,iNat cultivated scope (WS-B),
Viburnum setigerum,introduced,false,,iNaturalist establishment_means (CT),
Viburnum sieboldii,introduced,false,,iNaturalist establishment_means (CT),
Viburnum wrightii,introduced,false,,iNaturalist establishment_means (CT),
Vicia cracca,introduced,false,,iNaturalist establishment_means (CT),
Vicia grandiflora,introduced,false,,iNaturalist establishment_means (CT),
Vicia hirsuta,introduced,false,,iNaturalist establishment_means (CT),
Vicia sativa,introduced,false,,iNaturalist establishment_means (CT),
Vicia tetrasperma,introduced,false,,iNaturalist establishment_means (CT),
Vicia villosa,introduced,false,,iNaturalist establishment_means (CT),
Vinca major,introduced,false,,iNaturalist establishment_means (CT),
Vinca minor,introduced,false,,iNaturalist establishment_means (CT),
Vincetoxicum nigrum,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Vincetoxicum rossicum,invasive,true,invasive,CIPWG 2024 (CGS 22a-381d),
Viola arvensis,introduced,false,,iNaturalist establishment_means (CT),
Viola blanda,native,false,,iNaturalist establishment_means (CT),
Viola cucullata,native,false,,iNaturalist establishment_means (CT),
Viola odorata,introduced,false,,iNaturalist establishment_means (CT),
Viola primulifolia,native,false,,iNaturalist establishment_means (CT),
Viola tricolor,introduced,false,,iNaturalist establishment_means (CT),
Viscaria vulgaris,introduced,false,,iNaturalist establishment_means (CT),
Vitex agnus-castus,introduced,false,,iNaturalist establishment_means (CT),
Vitex negundo,introduced,false,,iNaturalist establishment_means (CT),
Vitis aestivalis,native,false,,iNaturalist establishment_means (CT),
Vitis labrusca,native,false,,iNaturalist establishment_means (CT),
Vitis vinifera,introduced,false,,iNaturalist establishment_means (CT),
Weigela florida,introduced,false,,iNaturalist establishment_means (CT),
Wisteria floribunda,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Wisteria frutescens,introduced,false,,iNaturalist establishment_means (CT),
Wisteria sinensis,invasive,true,potentially,CIPWG 2024 (CGS 22a-381d),
Xanthium strumarium,native,false,,iNaturalist establishment_means (CT),
Xanthorhiza simplicissima,introduced,false,,iNaturalist establishment_means (CT),
Yucca gloriosa,ornamental,false,,iNat cultivated scope (WS-B),
Zamioculcas zamiifolia,ornamental,false,,iNat cultivated scope (WS-B),
Zea mays,introduced,false,,iNaturalist establishment_means (CT),
Zelkova serrata,introduced,false,,iNaturalist establishment_means (CT),
Zinnia elegans,ornamental,false,,iNat cultivated scope (WS-B),
Zizia aurea,native,false,,iNaturalist establishment_means (CT),
